frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
143,4774.9,,,,,,,,,,17,687,615,,,,,,,,,,,,,,,
144,4811.0,,,,,,,,,,17,688,613,,,,,,,,,,,,,,,
145,4842.8,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
146,4877.6,,,,,,,,,,18,688,613,,,,,,,,,,,,,,,
147,4911.2,,,,,,,,,,17,688,615,,,,,,,,,,,,,,,
148,4942.8,,,,,,,,,,17,689,614,,,,,,,,,,,,,,,
149,4975.5,,,,,,,,,,17,689,616,,,,,,,,,,,,,,,
150,5011.3,,,,,,,,,,17,689,616,,,,,,,,,,,,,,,
151,5042.8,,,,,,,,,,17,689,616,,,,,,,,,,,,,,,
152,5074.9,,,,,,,,,,17,689,615,,,,,,,,,,,,,,,
153,5110.7,,,,,,,,,,17,688,617,,,,,,,,,,,,,,,
154,5142.8,,,,,,,,,,17,688,617,,,,,,,,,,,,,,,
155,5175.1,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
156,5211.8,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
157,5243.2,,,,,,,,,,18,687,618,,,,,,,,,,,,,,,
158,5274.8,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
159,5311.1,,,,,,,,,,18,687,617,,,,,,,,,,,,,,,
160,5342.8,,,,,,,,,,17,687,618,,,,,,,,,,,,,,,
161,5374.7,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
162,5410.6,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
163,5442.8,,,,,,,,,,17,687,620,,,,,,,,,,,,,,,
164,5475.1,,,,,,,,,,17,687,619,,,,,,,,,,,,,,,
165,5510.9,,,,,,,,,,17,688,619,,,,,,,,,,,,,,,
166,5542.9,,,,,,,,,,17,687,620,,,,,,,,,,,,,,,
167,5574.7,,,,,,,,,,17,688,621,,,,,,,,,,,,,,,
168,5610.9,,,,,,,,,,18,688,621,,,,,,,,,,,,,,,
169,5642.8,,,,,,,,,,18,688,620,,,,,,,,,,,,,,,
170,5675.0,,,,,,,,,,17,688,620,,,,,,,,,,,,,,,
171,5711.0,,,,,,,,,,18,689,620,,,,,,,,,,,,,,,
172,5742.6,,,,,,,,,,17,689,620,,,,,,,,,,,,,,,
173,5774.9,,,,,,,,,,18,689,620,,,,,,,,,,,,,,,
174,5811.0,,,,,,,,,,17,689,619,,,,,,,,,,,,,,,
175,5842.8,,,,,,,,,,18,689,618,,,,,,,,,,,,,,,
176,5875.1,,,,,,,,,,17,688,618,,,,,,,,,,,,,,,
