frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
194,6475.3,6,583,606,,,,,,,,,,,,,,,
196,6543.5,6,584,606,,,,,,,,,,,,,,,
198,6611.0,5,587,607,,,,,,,,,,,,,,,
202,6743.7,5,585,609,,,,,,,,,,,,,,,
220,7345.9,7,593,602,,,,,,,,,,,,,,,
225,7511.1,6,618,599,,,,,,,,,,,,,,,
229,7643.1,5,655,595,,,,,,,,,,,,,,,
282,9411.2,5,566,590,,,,,,,,,,,,,,,
283,9443.2,12,528,594,,,,,,,,,,,,,,,
284,9475.3,10,501,592,,,,,,,,,,,,,,,
285,9516.2,13,481,596,,,,,,,,,,,,,,,
286,9543.0,14,472,596,,,,,,,,,,,,,,,
287,9575.3,13,477,597,,,,,,,,,,,,,,,
288,9615.9,14,493,599,,,,,,,,,,,,,,,
289,9644.2,14,519,600,,,,,,,,,,,,,,,
290,9675.3,13,552,600,,,,,,,,,,,,,,,
291,9711.1,14,588,602,,,,,,,,,,,,,,,
292,9743.4,13,623,602,,,,,,,,,,,,,,,
293,9775.1,14,654,605,,,,,,,,,,,,,,,
294,9811.5,12,676,602,,,,,,,,,,,,,,,
295,9842.9,13,686,604,,,,,,,,,,,,,,,
296,9875.5,12,683,604,,,,,,,,,,,,,,,
297,9911.4,14,672,606,,,,,,,,,,,,,,,
298,9944.0,14,649,606,,,,,,,,,,,,,,,
299,9975.0,15,617,609,,,,,,,,,,,,,,,
300,10011.3,15,582,608,,,,,,,,,,,,,,,
301,10045.5,16,547,609,,,,,,,,,,,,,,,
302,10075.5,17,515,608,,,,,,,,,,,,,,,
303,10110.9,16,492,609,,,,,,,,,,,,,,,
304,10143.3,18,477,607,,,,,,,,,,,,,,,
305,10175.3,18,475,607,,,,,,,,,,,,,,,
306,10211.2,18,485,605,,,,,,,,,,,,,,,
307,10243.4,18,506,604,,,,,,,,,,,,,,,
308,10275.4,18,535,604,,,,,,,,,,,,,,,
309,10310.8,17,570,601,,,,,,,,,,,,,,,
310,10343.4,17,605,599,,,,,,,,,,,,,,,
311,10374.9,17,638,597,,,,,,,,,,,,,,,
312,10411.3,16,665,594,,,,,,,,,,,,,,,
313,10443.3,16,681,593,,,,,,,,,,,,,,,
314,10475.4,18,686,593,,,,,,,,,,,,,,,
315,10511.2,17,679,590,,,,,,,,,,,,,,,
316,10543.3,16,662,588,,,,,,,,,,,,,,,
317,10577.5,17,633,589,,,,,,,,,,,,,,,
318,10611.2,18,601,588,,,,,,,,,,,,,,,
319,10643.4,17,565,586,,,,,,,,,,,,,,,
320,10675.4,18,530,586,,,,,,,,,,,,,,,
321,10711.2,18,501,584,,,,,,,,,,,,,,,
322,10743.6,18,482,584,,,,,,,,,,,,,,,
323,10775.0,18,473,582,,,,,,,,,,,,,,,
324,10810.8,19,476,582,,,,,,,,,,,,,,,
325,10843.4,18,491,581,,,,,,,,,,,,,,,
326,10875.1,18,517,582,,,,,,,,,,,,,,,
327,10912.0,17,549,581,,,,,,,,,,,,,,,
328,10943.7,18,586,581,,,,,,,,,,,,,,,
329,10975.3,18,621,582,,,,,,,,,,,,,,,
330,11011.0,18,651,580,,,,,,,,,,,,,,,
331,11045.5,18,674,582,,,,,,,,,,,,,,,
332,11075.3,18,685,584,,,,,,,,,,,,,,,
333,11111.1,17,685,584,,,,,,,,,,,,,,,
334,11143.2,17,673,587,,,,,,,,,,,,,,,
335,11175.3,18,649,588,,,,,,,,,,,,,,,
336,11210.9,18,618,590,,,,,,,,,,,,,,,
337,11243.0,18,583,593,,,,,,,,,,,,,,,
338,11275.6,18,548,593,,,,,,,,,,,,,,,
339,11313.0,18,516,595,,,,,,,,,,,,,,,
340,11343.6,18,493,596,,,,,,,,,,,,,,,
341,11375.4,18,479,597,,,,,,,,,,,,,,,
342,11412.3,18,476,598,,,,,,,,,,,,,,,
343,11449.5,18,487,600,,,,,,,,,,,,,,,
344,11479.2,18,507,600,,,,,,,,,,,,,,,
345,11510.9,17,535,601,,,,,,,,,,,,,,,
346,11543.3,16,570,602,,,,,,,,,,,,,,,
347,11574.9,17,604,600,,,,,,,,,,,,,,,
348,11611.3,16,636,603,,,,,,,,,,,,,,,
349,11643.0,16,662,602,,,,,,,,,,,,,,,
350,11675.0,16,679,600,,,,,,,,,,,,,,,
351,11710.9,17,684,600,,,,,,,,,,,,,,,
